,bsub,cerevisiae,drerio,elegans,fly
"((0, 1), (0, 6), (1, 6))",False,True,False,True,False
"((0, 1), (0, 7), (1, 7))",False,True,False,True,False
"((0, 2), (0, 2), (3, 3))",False,False,True,False,False
"((0, 2), (0, 3), (2, 3))",False,False,True,False,False
"((0, 2), (0, 4), (3, 5))",False,True,False,True,False
"((0, 2), (0, 5), (3, 4))",False,True,False,True,False
"((0, 2), (0, 6), (3, 6))",True,True,False,True,False
"((0, 2), (0, 7), (3, 7))",False,True,False,True,False
"((0, 4), (0, 4), (5, 5))",False,True,False,True,False
"((0, 4), (0, 6), (5, 6))",False,True,False,True,False
"((0, 4), (0, 7), (5, 7))",False,True,False,False,False
"((0, 5), (0, 6), (4, 6))",False,True,False,True,False
"((0, 6), (0, 6), (6, 6))",False,True,False,True,False
"((0, 6), (0, 7), (6, 7))",False,True,False,True,False
"((0, 7), (0, 7), (7, 7))",False,True,False,False,False
"((1, 1), (1, 2), (1, 3))",False,False,False,False,True
"((1, 1), (1, 4), (1, 5))",False,False,False,False,True
"((1, 1), (1, 6), (1, 6))",False,True,False,False,True
"((1, 1), (1, 7), (1, 7))",False,True,False,False,False
"((1, 2), (1, 3), (2, 3))",False,True,True,True,False
"((1, 2), (1, 4), (3, 5))",False,True,False,False,False
"((1, 2), (1, 5), (3, 4))",False,True,False,True,False
"((1, 2), (1, 6), (3, 6))",False,True,False,True,True
"((1, 2), (1, 7), (3, 7))",False,True,False,True,True
"((1, 3), (1, 4), (2, 5))",False,True,False,False,False
"((1, 3), (1, 6), (2, 6))",False,True,False,True,False
"((1, 3), (1, 7), (2, 7))",False,True,False,True,False
"((1, 4), (1, 4), (5, 5))",False,True,False,False,False
"((1, 4), (1, 5), (4, 5))",False,True,False,False,False
"((1, 4), (1, 6), (5, 6))",False,True,False,True,False
"((1, 4), (1, 7), (5, 7))",False,True,False,False,True
"((1, 5), (1, 6), (4, 6))",False,True,False,True,False
"((1, 5), (1, 7), (4, 7))",False,True,False,True,False
"((1, 6), (1, 6), (6, 6))",False,True,False,True,False
"((1, 6), (1, 7), (6, 7))",False,True,False,True,False
"((1, 7), (1, 7), (7, 7))",False,True,False,False,True
"((2, 2), (2, 3), (3, 3))",False,False,True,False,True
"((2, 2), (3, 4), (3, 5))",False,True,False,True,False
"((2, 2), (3, 6), (3, 6))",False,True,False,True,True
"((2, 2), (3, 7), (3, 7))",False,True,False,True,True
"((2, 3), (2, 3), (2, 3))",False,True,False,True,False
"((2, 3), (2, 4), (3, 5))",True,True,False,True,False
"((2, 3), (2, 5), (3, 4))",False,True,False,True,False
"((2, 3), (2, 6), (3, 6))",False,True,False,True,False
"((2, 3), (2, 7), (3, 7))",False,True,False,True,True
"((2, 4), (2, 5), (3, 3))",True,False,False,False,False
"((2, 4), (3, 4), (5, 5))",False,True,False,True,False
"((2, 4), (3, 5), (4, 5))",False,True,False,False,False
"((2, 4), (3, 6), (5, 6))",False,True,False,True,False
"((2, 4), (3, 7), (5, 7))",False,True,False,True,True
"((2, 5), (3, 4), (4, 5))",False,True,False,False,False
"((2, 5), (3, 5), (4, 4))",False,True,False,True,True
"((2, 5), (3, 6), (4, 6))",False,True,False,True,False
"((2, 5), (3, 7), (4, 7))",False,True,False,True,False
"((2, 6), (2, 6), (3, 3))",False,True,False,False,False
"((2, 6), (3, 4), (5, 6))",False,True,False,True,False
"((2, 6), (3, 5), (4, 6))",False,True,False,True,False
"((2, 6), (3, 6), (6, 6))",False,True,False,True,False
"((2, 6), (3, 7), (6, 7))",False,True,False,True,False
"((2, 7), (2, 7), (3, 3))",False,True,False,False,False
"((2, 7), (3, 4), (5, 7))",False,True,False,True,False
"((2, 7), (3, 5), (4, 7))",False,True,False,True,True
"((2, 7), (3, 6), (6, 7))",False,True,False,True,False
"((2, 7), (3, 7), (7, 7))",False,True,False,True,True
"((4, 4), (4, 5), (5, 5))",False,True,False,False,False
"((4, 4), (5, 6), (5, 6))",False,True,False,True,False
"((4, 4), (5, 7), (5, 7))",False,True,False,False,True
"((4, 5), (4, 5), (4, 5))",False,False,False,True,False
"((4, 5), (4, 6), (5, 6))",False,True,False,True,False
"((4, 5), (4, 7), (5, 7))",False,False,False,False,True
"((4, 6), (4, 6), (5, 5))",False,True,False,True,False
"((4, 6), (5, 6), (6, 6))",False,True,False,True,False
"((4, 6), (5, 7), (6, 7))",False,True,False,True,False
"((4, 7), (4, 7), (5, 5))",False,True,False,True,False
"((4, 7), (5, 6), (6, 7))",False,True,False,True,False
"((4, 7), (5, 7), (7, 7))",False,True,False,True,False
"((6, 6), (6, 6), (6, 6))",False,True,False,True,False
"((6, 6), (6, 7), (6, 7))",False,True,False,True,True
"((6, 7), (6, 7), (7, 7))",False,True,False,True,False
"((7, 7), (7, 7), (7, 7))",False,True,False,False,False
