FBgn0014391	Q9VXN2
FBgn0264325	Q9VCE1
FBgn0264294	Q9V4N3
FBgn0262975	P20482
FBgn0039802	Q9VA37
FBgn0029891	Q0KHV6
FBgn0000261	P17336
FBgn0016120	Q24251
FBgn0024944	Q7JQF1
FBgn0004577	Q01603
FBgn0041094	Q9VTH4
FBgn0004432	P25007
FBgn0026086	Q9NII1
FBgn0267376	Q8INK9
FBgn0027864	Q9V3I8
FBgn0036165	Q9VTI8
FBgn0020278	Q9VCX1
FBgn0031820	Q9VMD0
FBgn0000565	P08761
FBgn0041100	Q7KTX7
FBgn0033631	Q7JR71
FBgn0000229	P92208
FBgn0000173	P35128
FBgn0030876	Q9VX10
FBgn0042185	Q8IQ70
FBgn0042135	Q7JUR6
FBgn0015765	O62618
FBgn0010051	P29993
FBgn0028396	Q8IN44
FBgn0040309	Q9V3P0
FBgn0011828	Q9VZZ4
FBgn0030092	Q9W385
FBgn0263933	Q95RJ9
FBgn0003301	P32870
FBgn0033885	A1Z9J4
FBgn0003360	Q26365
FBgn0283531	Q9VQH2
FBgn0283499	P09208
FBgn0001223	P02515
FBgn0003462	P61851
FBgn0010379	Q8INB9
FBgn0026575	Q9VXG1
FBgn0003068	P07663
FBgn0040070	Q9V429
FBgn0261987	Q9VEG6
FBgn0044812	Q8IN43
FBgn0044810	Q8IN41
FBgn0044809	Q8IN42
FBgn0038197	Q95V55
FBgn0038519	Q9VEJ0
FBgn0261560	Q9XZ56
FBgn0038437	Q8SZ16
FBgn0031589	Q9VQX4
