((0, 1), (0, 1), (1, 1)) : 21548
((0, 1), (0, 4), (1, 5)) : 3578
((0, 1), (0, 5), (1, 4)) : 1994
((0, 4), (0, 4), (5, 5)) : 169
((0, 5), (0, 5), (4, 4)) : 1997
((0, 4), (0, 5), (4, 5)) : 30
((0, 1), (0, 7), (1, 7)) : 109
((0, 5), (0, 7), (4, 7)) : 142
((0, 4), (0, 7), (5, 7)) : 7
((0, 7), (0, 7), (7, 7)) : 6
((0, 1), (0, 3), (1, 2)) : 9311
((0, 1), (0, 2), (1, 3)) : 13518
((0, 1), (0, 6), (1, 6)) : 780
((0, 2), (0, 4), (3, 5)) : 1201
((0, 2), (0, 5), (3, 4)) : 736
((0, 3), (0, 5), (2, 4)) : 10169
((0, 3), (0, 4), (2, 5)) : 729
((0, 4), (0, 6), (5, 6)) : 102
((0, 5), (0, 6), (4, 6)) : 854
((0, 3), (0, 7), (2, 7)) : 1568
((0, 2), (0, 7), (3, 7)) : 141
((0, 6), (0, 7), (6, 7)) : 203
((0, 2), (0, 2), (3, 3)) : 17623
((0, 3), (0, 3), (2, 2)) : 119205
((0, 2), (0, 3), (2, 3)) : 21930
((0, 3), (0, 6), (2, 6)) : 23281
((0, 2), (0, 6), (3, 6)) : 2821
((0, 6), (0, 6), (6, 6)) : 1393
((1, 1), (1, 1), (1, 1)) : 1753
((1, 1), (1, 4), (1, 5)) : 538
((1, 4), (1, 4), (5, 5)) : 38
((1, 5), (1, 5), (4, 4)) : 623
((1, 4), (1, 5), (4, 5)) : 10
((4, 4), (4, 5), (5, 5)) : 66
((1, 1), (1, 7), (1, 7)) : 20
((1, 5), (1, 7), (4, 7)) : 45
((1, 4), (1, 7), (5, 7)) : 5
((1, 7), (1, 7), (7, 7)) : 8
((4, 4), (5, 7), (5, 7)) : 5
((4, 7), (4, 7), (5, 5)) : 68
((4, 7), (5, 7), (7, 7)) : 8
((7, 7), (7, 7), (7, 7)) : 1
((1, 1), (1, 2), (1, 3)) : 5129
((1, 2), (1, 4), (3, 5)) : 372
((1, 2), (1, 5), (3, 4)) : 370
((1, 3), (1, 4), (2, 5)) : 208
((1, 3), (1, 5), (2, 4)) : 5430
((2, 5), (3, 4), (4, 5)) : 3
((2, 5), (3, 5), (4, 4)) : 603
((2, 4), (3, 4), (5, 5)) : 482
((2, 4), (3, 5), (4, 5)) : 80
((1, 1), (1, 6), (1, 6)) : 286
((1, 4), (1, 6), (5, 6)) : 28
((1, 5), (1, 6), (4, 6)) : 597
((4, 5), (4, 6), (5, 6)) : 12
((4, 4), (5, 6), (5, 6)) : 29
((4, 6), (4, 6), (5, 5)) : 315
((1, 6), (1, 7), (6, 7)) : 43
((4, 6), (5, 7), (6, 7)) : 10
((4, 7), (5, 6), (6, 7)) : 58
((6, 7), (6, 7), (7, 7)) : 27
((1, 3), (1, 7), (2, 7)) : 239
((1, 2), (1, 7), (3, 7)) : 18
((2, 5), (3, 7), (4, 7)) : 25
((2, 7), (3, 4), (5, 7)) : 7
((2, 7), (3, 5), (4, 7)) : 490
((2, 4), (3, 7), (5, 7)) : 10
((2, 7), (3, 7), (7, 7)) : 15
((1, 2), (1, 2), (3, 3)) : 849
((1, 2), (1, 3), (2, 3)) : 791
((1, 3), (1, 3), (2, 2)) : 7252
((1, 2), (1, 6), (3, 6)) : 133
((1, 3), (1, 6), (2, 6)) : 742
((1, 6), (1, 6), (6, 6)) : 57
((2, 4), (2, 5), (3, 3)) : 1073
((2, 2), (3, 4), (3, 5)) : 1017
((2, 3), (2, 4), (3, 5)) : 1370
((2, 3), (2, 5), (3, 4)) : 34
((2, 5), (3, 6), (4, 6)) : 69
((2, 6), (3, 5), (4, 6)) : 1102
((2, 4), (3, 6), (5, 6)) : 130
((2, 6), (3, 4), (5, 6)) : 59
((4, 6), (5, 6), (6, 6)) : 85
((2, 7), (2, 7), (3, 3)) : 1222
((2, 3), (2, 7), (3, 7)) : 130
((2, 2), (3, 7), (3, 7)) : 90
((2, 7), (3, 6), (6, 7)) : 262
((2, 6), (3, 7), (6, 7)) : 134
((6, 6), (6, 7), (6, 7)) : 142
((2, 3), (2, 3), (2, 3)) : 552
((2, 2), (2, 3), (3, 3)) : 31893
((2, 3), (2, 6), (3, 6)) : 2547
((2, 2), (3, 6), (3, 6)) : 1897
((2, 6), (2, 6), (3, 3)) : 16443
((2, 6), (3, 6), (6, 6)) : 3154
((6, 6), (6, 6), (6, 6)) : 636
