orbit	id	count
 (((0, 3), (0, 3), (2, 2)), 0), Orbit 0	64	131372922
 (((0, 3), (0, 3), (2, 2)), 1), Orbit 1	65	65686461
 (((0, 1), (0, 1), (1, 1)), 0), Orbit 0	0	1784364
 (((1, 1), (1, 1), (1, 1)), 0), Orbit 0	77	958302
 (((0, 1), (0, 1), (1, 1)), 1), Orbit 1	1	892182
 (((0, 1), (0, 3), (1, 2)), 0), Orbit 0	26	201181
 (((0, 1), (0, 3), (1, 2)), 1), Orbit 1	27	201181
 (((0, 1), (0, 3), (1, 2)), 2), Orbit 2	28	201181
 (((0, 1), (0, 2), (1, 3)), 0), Orbit 0	29	80357
 (((0, 1), (0, 2), (1, 3)), 1), Orbit 1	30	80357
 (((0, 1), (0, 2), (1, 3)), 2), Orbit 2	31	80357
 (((0, 3), (0, 5), (2, 4)), 0), Orbit 0	41	54177
 (((0, 3), (0, 5), (2, 4)), 1), Orbit 1	42	54177
 (((0, 3), (0, 5), (2, 4)), 2), Orbit 2	43	54177
 (((1, 3), (1, 3), (2, 2)), 0), Orbit 0	192	29886
 (((0, 2), (0, 3), (2, 3)), 0), Orbit 0	66	18337
 (((0, 2), (0, 3), (2, 3)), 1), Orbit 1	67	18337
 (((0, 2), (0, 3), (2, 3)), 2), Orbit 2	68	18337
 (((0, 2), (0, 2), (3, 3)), 0), Orbit 0	62	17382
 (((1, 3), (1, 3), (2, 2)), 1), Orbit 1	193	14943
 (((2, 2), (2, 3), (3, 3)), 0), Orbit 0	245	9486
 (((2, 2), (2, 3), (3, 3)), 1), Orbit 1	246	9486
 (((2, 2), (2, 3), (3, 3)), 2), Orbit 2	247	9486
 (((0, 2), (0, 2), (3, 3)), 1), Orbit 1	63	8691
 (((1, 2), (1, 2), (3, 3)), 0), Orbit 0	187	2300
 (((1, 2), (1, 2), (3, 3)), 1), Orbit 1	188	1150
 (((0, 1), (0, 4), (1, 5)), 0), Orbit 0	2	737
 (((0, 1), (0, 4), (1, 5)), 1), Orbit 1	3	737
 (((0, 1), (0, 4), (1, 5)), 2), Orbit 2	4	737
 (((0, 1), (0, 5), (1, 4)), 0), Orbit 0	5	459
 (((0, 1), (0, 5), (1, 4)), 1), Orbit 1	6	459
 (((0, 1), (0, 5), (1, 4)), 2), Orbit 2	7	459
 (((1, 1), (1, 2), (1, 3)), 0), Orbit 0	113	409
 (((1, 1), (1, 2), (1, 3)), 1), Orbit 1	114	409
 (((1, 1), (1, 2), (1, 3)), 2), Orbit 2	115	409
 (((1, 1), (1, 4), (1, 5)), 0), Orbit 0	78	96
 (((1, 1), (1, 4), (1, 5)), 1), Orbit 1	79	96
 (((1, 1), (1, 4), (1, 5)), 2), Orbit 2	80	96
 (((1, 3), (1, 5), (2, 4)), 0), Orbit 0	125	74
 (((1, 3), (1, 5), (2, 4)), 1), Orbit 1	126	74
 (((1, 3), (1, 5), (2, 4)), 2), Orbit 2	127	74
 (((0, 5), (0, 5), (4, 4)), 0), Orbit 0	10	48
 (((0, 2), (0, 4), (3, 5)), 0), Orbit 0	35	30
 (((0, 2), (0, 4), (3, 5)), 1), Orbit 1	36	30
 (((0, 2), (0, 4), (3, 5)), 2), Orbit 2	37	30
 (((0, 2), (0, 5), (3, 4)), 0), Orbit 0	38	28
 (((0, 2), (0, 5), (3, 4)), 1), Orbit 1	39	28
 (((0, 2), (0, 5), (3, 4)), 2), Orbit 2	40	28
 (((0, 5), (0, 5), (4, 4)), 1), Orbit 1	11	24
 (((2, 2), (3, 4), (3, 5)), 0), Orbit 0	205	21
 (((2, 2), (3, 4), (3, 5)), 1), Orbit 1	206	21
 (((2, 2), (3, 4), (3, 5)), 2), Orbit 2	207	21
 (((1, 5), (1, 5), (4, 4)), 0), Orbit 0	83	18
 (((2, 4), (2, 5), (3, 3)), 0), Orbit 0	202	17
 (((2, 4), (2, 5), (3, 3)), 1), Orbit 1	203	17
 (((2, 4), (2, 5), (3, 3)), 2), Orbit 2	204	17
 (((1, 5), (1, 5), (4, 4)), 1), Orbit 1	84	9
 (((1, 2), (1, 4), (3, 5)), 0), Orbit 0	116	5
 (((1, 2), (1, 4), (3, 5)), 1), Orbit 1	117	5
 (((1, 2), (1, 4), (3, 5)), 2), Orbit 2	118	5
 (((2, 3), (2, 4), (3, 5)), 0), Orbit 0	208	5
 (((2, 3), (2, 4), (3, 5)), 1), Orbit 1	209	5
 (((2, 3), (2, 4), (3, 5)), 2), Orbit 2	210	5
 (((0, 4), (0, 4), (5, 5)), 0), Orbit 0	8	4
 (((0, 3), (0, 4), (2, 5)), 0), Orbit 0	44	4
 (((0, 3), (0, 4), (2, 5)), 1), Orbit 1	45	4
 (((0, 3), (0, 4), (2, 5)), 2), Orbit 2	46	4
 (((1, 2), (1, 3), (2, 3)), 0), Orbit 0	189	3
 (((1, 2), (1, 3), (2, 3)), 1), Orbit 1	190	3
 (((1, 2), (1, 3), (2, 3)), 2), Orbit 2	191	3
 (((0, 4), (0, 4), (5, 5)), 1), Orbit 1	9	2
 (((1, 4), (1, 4), (5, 5)), 0), Orbit 0	81	2
 (((1, 4), (1, 4), (5, 5)), 1), Orbit 1	82	1
