((0, 1), (0, 1), (1, 1)) : 48078145
((0, 1), (0, 4), (1, 5)) : 208119
((0, 1), (0, 5), (1, 4)) : 244571
((0, 4), (0, 4), (5, 5)) : 3199
((0, 5), (0, 5), (4, 4)) : 1983
((0, 4), (0, 5), (4, 5)) : 3899
((0, 1), (0, 7), (1, 7)) : 125427
((0, 5), (0, 7), (4, 7)) : 2535
((0, 4), (0, 7), (5, 7)) : 3711
((0, 7), (0, 7), (7, 7)) : 1087
((0, 1), (0, 3), (1, 2)) : 899499
((0, 1), (0, 2), (1, 3)) : 952944
((0, 1), (0, 6), (1, 6)) : 205797
((0, 2), (0, 4), (3, 5)) : 41344
((0, 3), (0, 5), (2, 4)) : 18236
((0, 3), (0, 4), (2, 5)) : 17737
((0, 4), (0, 6), (5, 6)) : 6436
((0, 5), (0, 6), (4, 6)) : 4303
((0, 3), (0, 7), (2, 7)) : 12567
((0, 2), (0, 7), (3, 7)) : 23405
((0, 6), (0, 7), (6, 7)) : 4435
((0, 2), (0, 2), (3, 3)) : 204075
((0, 3), (0, 3), (2, 2)) : 58895
((0, 2), (0, 3), (2, 3)) : 119272
((0, 3), (0, 6), (2, 6)) : 24205
((0, 2), (0, 6), (3, 6)) : 46833
((0, 6), (0, 6), (6, 6)) : 4305
((1, 1), (1, 1), (1, 1)) : 1237946
((1, 1), (1, 4), (1, 5)) : 20213
((1, 4), (1, 4), (5, 5)) : 600
((1, 5), (1, 5), (4, 4)) : 252
((1, 4), (1, 5), (4, 5)) : 421
((4, 5), (4, 5), (4, 5)) : 16
((4, 4), (4, 5), (5, 5)) : 231
((1, 1), (1, 7), (1, 7)) : 6529
((1, 5), (1, 7), (4, 7)) : 345
((1, 4), (1, 7), (5, 7)) : 549
((1, 7), (1, 7), (7, 7)) : 147
((4, 4), (5, 7), (5, 7)) : 162
((4, 5), (4, 7), (5, 7)) : 115
((4, 7), (5, 7), (7, 7)) : 207
((7, 7), (7, 7), (7, 7)) : 89
((1, 1), (1, 2), (1, 3)) : 32535
((1, 2), (1, 4), (3, 5)) : 1604
((1, 2), (1, 5), (3, 4)) : 629
((1, 3), (1, 4), (2, 5)) : 625
((1, 3), (1, 5), (2, 4)) : 635
((2, 5), (3, 4), (4, 5)) : 43
((2, 5), (3, 5), (4, 4)) : 204
((2, 4), (3, 4), (5, 5)) : 177
((2, 4), (3, 5), (4, 5)) : 239
((1, 1), (1, 6), (1, 6)) : 4392
((1, 4), (1, 6), (5, 6)) : 360
((1, 5), (1, 6), (4, 6)) : 160
((4, 5), (4, 6), (5, 6)) : 42
((4, 4), (5, 6), (5, 6)) : 44
((4, 6), (4, 6), (5, 5)) : 15
((1, 6), (1, 7), (6, 7)) : 185
((4, 6), (5, 7), (6, 7)) : 69
((4, 7), (5, 6), (6, 7)) : 85
((6, 7), (6, 7), (7, 7)) : 54
((1, 3), (1, 7), (2, 7)) : 456
((1, 2), (1, 7), (3, 7)) : 691
((2, 5), (3, 7), (4, 7)) : 90
((2, 7), (3, 4), (5, 7)) : 83
((2, 7), (3, 5), (4, 7)) : 231
((2, 4), (3, 7), (5, 7)) : 244
((2, 7), (3, 7), (7, 7)) : 190
((1, 2), (1, 2), (3, 3)) : 3751
((1, 2), (1, 3), (2, 3)) : 2045
((1, 3), (1, 3), (2, 2)) : 1305
((1, 2), (1, 6), (3, 6)) : 1029
((1, 3), (1, 6), (2, 6)) : 581
((1, 6), (1, 6), (6, 6)) : 129
((2, 4), (2, 5), (3, 3)) : 1178
((2, 2), (3, 4), (3, 5)) : 895
((2, 3), (2, 4), (3, 5)) : 520
((2, 3), (2, 5), (3, 4)) : 187
((2, 5), (3, 6), (4, 6)) : 143
((2, 6), (3, 5), (4, 6)) : 190
((2, 4), (3, 6), (5, 6)) : 311
((2, 6), (3, 4), (5, 6)) : 137
((4, 6), (5, 6), (6, 6)) : 120
((2, 7), (2, 7), (3, 3)) : 818
((2, 3), (2, 7), (3, 7)) : 335
((2, 2), (3, 7), (3, 7)) : 760
((2, 7), (3, 6), (6, 7)) : 310
((2, 6), (3, 7), (6, 7)) : 289
((6, 6), (6, 7), (6, 7)) : 136
((2, 3), (2, 3), (2, 3)) : 294
((2, 2), (2, 3), (3, 3)) : 3771
((2, 3), (2, 6), (3, 6)) : 479
((2, 2), (3, 6), (3, 6)) : 927
((2, 6), (2, 6), (3, 3)) : 684
((2, 6), (3, 6), (6, 6)) : 381
((6, 6), (6, 6), (6, 6)) : 66
((0, 2), (0, 5), (3, 4)) : 21569
((4, 7), (4, 7), (5, 5)) : 100
